filename,basename,variable,scenario,gcm,model,timestep,spatial_res,biascorrection,calendar,units,variable_name_long,variable_units,daily_variable_name_long
pr_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,pr_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc,pr,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
pr_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,pr_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc,pr,ssp585,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,mm/day,Daily accumulated precipitation,NA,Daily accumulated precipitation
rsds_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,rsds_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw,rsds,historical,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,rsds_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw,rsds,ssp126,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,rsds_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw,rsds,ssp245,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,rsds_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw,rsds,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
rsds_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,rsds_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_raw,rsds,ssp585,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,W m-2,Average solar radiation,W/m2,Daily mean incoming solar radiation
sfcWind_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,sfcWind_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw,sfcWind,historical,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw,sfcWind,ssp126,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw,sfcWind,ssp245,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw,sfcWind,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWind_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,sfcWind_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_raw,sfcWind,ssp585,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,m s-1,Average wind speed,m/s,Daily mean 10m wind speed
sfcWindmax_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,sfcWindmax_historical_ACCESS-CM2_CCAM_daily_NZ5km_raw,sfcWindmax,historical,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_raw,sfcWindmax,ssp126,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_raw,sfcWindmax,ssp245,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_raw,sfcWindmax,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
sfcWindmax_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_raw.nc,sfcWindmax_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_raw,sfcWindmax,ssp585,ACCESS-CM2,CCAM,daily,NZ5km,raw,365_day,m s-1,Daily max 10m wind speed,NA,Daily max 10m wind speed
tas_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tas_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc,tas,historical,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tas_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc,tas,ssp126,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tas_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc,tas,ssp245,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tas_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc,tas,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tas_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tas_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc,tas,ssp585,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily mean 2m air temperature,NA,Daily mean 2m air temperature
tasmax_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tasmax_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc,tasmax,historical,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tasmax_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc,tasmax,ssp126,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tasmax_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc,tasmax,ssp245,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tasmax_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc,tasmax,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmax_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tasmax_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc,tasmax,ssp585,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily maximum 2m air temperature,NA,Daily maximum 2m air temperature
tasmin_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tasmin_historical_ACCESS-CM2_CCAM_daily_NZ5km_bc,tasmin,historical,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily minimum 2m air temperature,NA,Daily minimum 2m air temperature
tasmin_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tasmin_ssp126_ACCESS-CM2_CCAM_daily_NZ5km_bc,tasmin,ssp126,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily minimum 2m air temperature,NA,Daily minimum 2m air temperature
tasmin_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tasmin_ssp245_ACCESS-CM2_CCAM_daily_NZ5km_bc,tasmin,ssp245,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily minimum 2m air temperature,NA,Daily minimum 2m air temperature
tasmin_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tasmin_ssp370_ACCESS-CM2_CCAM_daily_NZ5km_bc,tasmin,ssp370,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily minimum 2m air temperature,NA,Daily minimum 2m air temperature
tasmin_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc.nc,tasmin_ssp585_ACCESS-CM2_CCAM_daily_NZ5km_bc,tasmin,ssp585,ACCESS-CM2,CCAM,daily,NZ5km,bc,365_day,K,Daily minimum 2m air temperature,NA,Daily minimum 2m air temperature
